ISO3,Country,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in Education (2010),Inequality in Education (2011),Inequality in Education (2012),Inequality in Education (2013),Inequality in Education (2014),Inequality in Education (2015),Inequality in Education (2016),Inequality in Education (2017),Inequality in Education (2018),Inequality in Education (2019),Inequality in Education (2020),Inequality in Education (2021)
BWA,Botswana,Medium,SSA,117,32.08,32.08,32.08,32.08,32.08,23.28,23.28,23.28,23.28,23.28,23.28,23.28
CAF,Central African Republic,Low,SSA,188,34.55,34.55,34.55,34.55,34.55,34.55,34.55,34.55,34.55,35.20,35.20,35.20
CAN,Canada,Very High,,15,3.856,3.856,3.856,2.678,2.678,2.696,2.58,2.521,2.521,2.521,2.521,2.521
CHE,Switzerland,Very High,,1,,,,2.34809,2.37852,2.366899217,1.93114,1.93114,1.82879,1.82879,2.01457,2.01457
CHL,Chile,Very High,LAC,42,13.37,14.94,14.94,12.68,12.68,11.99,11.99,11.74,11.74,11.74,11.74,11.74
CHN,China,High,EAP,79,11.47,11.47,11.47,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68
CIV,Ivory Coast,Medium,SSA,159,43.20,43.20,45.11,45.11,45.11,45.11,45.61,45.61,45.61,45.61,45.61,45.61
CMR,Cameroon,Medium,SSA,151,,33.66053,33.66053,33.66053,32.95967,32.95967,32.95967,32.95967,31.71699,31.71699,31.71699,31.71699
COD,The Democratic Republic of the Congo,Low,SSA,179,29.40,29.40,29.40,29.40,27.69,27.69,27.69,26.77,26.77,26.77,26.77,26.77
COG,Congo,Medium,SSA,153,25.40,25.40,21.52,21.52,20.93,20.93,20.93,20.93,20.93,20.93,20.93,20.93
COL,Colombia,High,LAC,88,18.48,18.21,17.97,17.63,17.10,16.71,16.19,15.85,15.28,14.65,14.65,14.65
COM,Comoros,Medium,SSA,156,,,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438
CPV,Cabo Verde,Medium,SSA,128,,,,,,27.38759118,27.38759118,27.38759118,27.38759118,27.38759118,27.38759118,27.38759118
CRI,Costa Rica,Very High,LAC,58,13.81,12.91,13.01,12.43,12.29,11.91,12.18,11.94,11.59,11.58,11.58,11.58
CUB,Cuba,High,LAC,83,,11.25588,11.25588,11.25588,10.93381,10.93381,10.93381,7.81109,7.81109,9.09712,9.09712,9.09712
CYP,Cyprus,Very High,,29,16.28618,13.97747,13.14751,12.40564,12.68604,11.70944,11.7125,11.03766,10.47803,10.47803,9.5209,9.5209
CZE,Czechia,Very High,,32,1.32297,1.38564,1.39045,1.37273,1.6132,1.52944,1.60035,1.37701,1.38824,1.38824,1.25563,1.25563
